author,title,subtitle preview,published date,min read time,collection,claps,responses
Alberto Naranjo,Build a payment system with Django 3.1 and Stripe from scratch,,Oct 28,6 min read,Python In Plain English,22,
Chris Webb,An Introduction to Image Manipulation in Python with Pillow,,Oct 29,9 min read,Python In Plain English,90,
Pattidegner,Image Filtering and Editing in Python — With Code,,Oct 29,6 min read,Python In Plain English,55,
Sebastian Witowski,Sorting Lists in Python,What’s the fastest way to sort a list? When can you use sort() and when you…,Oct 22,3 min read,Python In Plain English,31,
Griffin Leow,Telegram Channel Listener with Python,,Oct 20,5 min read,Python In Plain English,6,
SolClover,How to Get Medium Story Stats with 3 Lines of Python Code,,Oct 21,4 min read,Python In Plain English,70,
Haider Imtiaz,Create a Tweet Bot with Python Without Using The Twitter API,,Oct 21,3 min read,Python In Plain English,5,1 response
180NF,How to Create a Cryptocurrency Wallet in Python,We will be integrating the stellar network with our…,Apr 29,7 min read,Python In Plain English,10,
Manthan B Y,Zero to Hero in Python in 30 days: Day 27: Comprehensions,,Apr 29,3 min read,Python In Plain English,57,
WeiQin Chuah,Learning Convolutional Neural Network (CNN) with PyTorch,,Apr 29,8 min read,Python In Plain English,,1 response
Shekhar Srivastava,Dynamic Programming in Python,,Apr 30,2 min read,Python In Plain English,1,
Alberto Naranjo,Build a payment system with Django 3.1 and Stripe from scratch. Part 3,,Oct 19,6 min read,Python In Plain English,140,
Kevin C Lee,How to Build a Web API,,Oct 19,8 min read,Python In Plain English,6,
Peter Grant,How to Create Report-Ready Plots in Python,,Oct 19,11 min read,Python In Plain English,33,1 response
Uzair Adamjee,Introduction to NLTK library in Python,One of the best library for understanding text based data,Oct 19,2 min read,Python In Plain English,32,
Borna Ahmadzadeh,Tackling Kaggle’s Mercedes-Benz Greener Manufacturing Competition with Python,Part 3 (Continued) —…,Oct 19,11 min read,Python In Plain English,1,
Amey Band,Exploratory Data Analysis in Python,When newbies approach their first industrial level machine…,Apr 27,10 min read,Python In Plain English,34,
Athena Xiao,Technical | How to Recover a Deleted/Overwritten Python File?,,Apr 27,2 min read,Python In Plain English,3,
Manthan B Y,Zero to Hero in Python in 30 days: Day 24: Modules,,Apr 26,6 min read,Python In Plain English,6,
Kranthi kumar,QR code generation with Python,,Apr 27,1 min read,Python In Plain English,,
Dimensionless,The Revolutionary Growth Rate of Python and R,,Apr 27,2 min read,Python In Plain English,,
Sofien Kaabar,A Python Study: Combining Candlestick Patterns with Technical Indicators,,Oct 20,10 min read,Python In Plain English,152,3 responses
Martin Thoma,A Beginner’s Guide to Python Development on Windows 10,,Oct 20,4 min read,Python In Plain English,25,
Michael Van Den Reym,Automate Tasks — Robotic Process Automation with Python,,Apr 29,2 min read,Python In Plain English,15,1 response
Suyash Kathar,Best way to organize Flask Project,,Apr 29,3 min read,Python In Plain English,,
Benjamin Carlson,Python Automation With Selenium: Building An Instagram Bot,,Apr 29,4 min read,Python In Plain English,3,
Manthan B Y,Zero to Hero in Python in 30 days: Day 26: File I/O Part II,,Apr 28,3 min read,Python In Plain English,50,
